Context	Hypothesis	Entailment_Label	Topic_Label
सीरिया में बड़ा धमाका, 31 मरे	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
सीरिया में बड़ा धमाका, 31 मरे	यह मनोरंजन की सूचना है|	not-entailed	2
सीरिया में बड़ा धमाका, 31 मरे	यह मनोरंजन की सूचना नहीं है|	entailed	2
अमरीका राष्ट्रपति पद का चुनाव: पांच मुद्दे, पांच जवाब	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
अमरीका राष्ट्रपति पद का चुनाव: पांच मुद्दे, पांच जवाब	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
अमरीका राष्ट्रपति पद का चुनाव: पांच मुद्दे, पांच जवाब	यह खेल की सूचना है|	not-entailed	2
अमरीका राष्ट्रपति पद का चुनाव: पांच मुद्दे, पांच जवाब	यह खेल की सूचना नहीं है|	entailed	2
मध्य प्रदेश में विदेशी महिला के साथ 'गैंगरेप'	यह भारत की सूचना है|	entailed	0
मध्य प्रदेश में विदेशी महिला के साथ 'गैंगरेप'	यह भारत की सूचना नहीं है|	not-entailed	0
मध्य प्रदेश में विदेशी महिला के साथ 'गैंगरेप'	यह विज्ञान की सूचना है|	not-entailed	0
मध्य प्रदेश में विदेशी महिला के साथ 'गैंगरेप'	यह विज्ञान की सूचना नहीं है|	entailed	0
स्कूटर-मोटरसाइकिल का इस्तेमाल बढ़ा	यह भारत की सूचना है|	entailed	0
स्कूटर-मोटरसाइकिल का इस्तेमाल बढ़ा	यह भारत की सूचना नहीं है|	not-entailed	0
स्कूटर-मोटरसाइकिल का इस्तेमाल बढ़ा	यह खबर की सूचना है|	not-entailed	0
स्कूटर-मोटरसाइकिल का इस्तेमाल बढ़ा	यह खबर की सूचना नहीं है|	entailed	0
आईपीएल नीलामी: युवराज 14, शामी 4.25, सहवाग केवल 3.20 करोड़	यह खेल की सूचना है|	entailed	4
आईपीएल नीलामी: युवराज 14, शामी 4.25, सहवाग केवल 3.20 करोड़	यह खेल की सूचना नहीं है|	not-entailed	4
आईपीएल नीलामी: युवराज 14, शामी 4.25, सहवाग केवल 3.20 करोड़	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	4
आईपीएल नीलामी: युवराज 14, शामी 4.25, सहवाग केवल 3.20 करोड़	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	4
अब घर घर राशन भी पहुंचाएंगे ड्रोन!	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
अब घर घर राशन भी पहुंचाएंगे ड्रोन!	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
अब घर घर राशन भी पहुंचाएंगे ड्रोन!	यह खबर की सूचना है|	not-entailed	2
अब घर घर राशन भी पहुंचाएंगे ड्रोन!	यह खबर की सूचना नहीं है|	entailed	2
अभिनेत्री ने खोली कास्टिंग काउच की पोल	यह मनोरंजन की सूचना है|	entailed	3
अभिनेत्री ने खोली कास्टिंग काउच की पोल	यह मनोरंजन की सूचना नहीं है|	not-entailed	3
अभिनेत्री ने खोली कास्टिंग काउच की पोल	यह खेल की सूचना है|	not-entailed	3
अभिनेत्री ने खोली कास्टिंग काउच की पोल	यह खेल की सूचना नहीं है|	entailed	3
चीनः ऑनलाइन अफ़वाह फैलाने के आरोप में 110 गिरफ़्तार	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
चीनः ऑनलाइन अफ़वाह फैलाने के आरोप में 110 गिरफ़्तार	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
चीनः ऑनलाइन अफ़वाह फैलाने के आरोप में 110 गिरफ़्तार	यह विज्ञान की सूचना है|	not-entailed	2
चीनः ऑनलाइन अफ़वाह फैलाने के आरोप में 110 गिरफ़्तार	यह विज्ञान की सूचना नहीं है|	entailed	2
लिली थॉमस: उम्र 85 फिर भी डाली हर नेता की जान सांसत में	यह भारत की सूचना है|	entailed	0
लिली थॉमस: उम्र 85 फिर भी डाली हर नेता की जान सांसत में	यह भारत की सूचना नहीं है|	not-entailed	0
लिली थॉमस: उम्र 85 फिर भी डाली हर नेता की जान सांसत में	यह खबर की सूचना है|	not-entailed	0
लिली थॉमस: उम्र 85 फिर भी डाली हर नेता की जान सांसत में	यह खबर की सूचना नहीं है|	entailed	0
पॉर्न साइट्स का दावा: देखने में ख़तरा नहीं	यह विज्ञान की सूचना है|	entailed	5
पॉर्न साइट्स का दावा: देखने में ख़तरा नहीं	यह विज्ञान की सूचना नहीं है|	not-entailed	5
पॉर्न साइट्स का दावा: देखने में ख़तरा नहीं	यह खेल की सूचना है|	not-entailed	5
पॉर्न साइट्स का दावा: देखने में ख़तरा नहीं	यह खेल की सूचना नहीं है|	entailed	5
एशिया कप: श्रीलंका ने पाकिस्तान को 12 रनों से हराया	यह खेल की सूचना है|	entailed	4
एशिया कप: श्रीलंका ने पाकिस्तान को 12 रनों से हराया	यह खेल की सूचना नहीं है|	not-entailed	4
एशिया कप: श्रीलंका ने पाकिस्तान को 12 रनों से हराया	यह खबर की सूचना है|	not-entailed	4
एशिया कप: श्रीलंका ने पाकिस्तान को 12 रनों से हराया	यह खबर की सूचना नहीं है|	entailed	4
टेनिस कोर्ट पर पनपा पप्पू यादव का प्यार	यह भारत की सूचना है|	entailed	0
टेनिस कोर्ट पर पनपा पप्पू यादव का प्यार	यह भारत की सूचना नहीं है|	not-entailed	0
टेनिस कोर्ट पर पनपा पप्पू यादव का प्यार	यह खबर की सूचना है|	not-entailed	0
टेनिस कोर्ट पर पनपा पप्पू यादव का प्यार	यह खबर की सूचना नहीं है|	entailed	0
ब्रिटेन में बनारस का कुआँ	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
ब्रिटेन में बनारस का कुआँ	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
ब्रिटेन में बनारस का कुआँ	यह खेल की सूचना है|	not-entailed	2
ब्रिटेन में बनारस का कुआँ	यह खेल की सूचना नहीं है|	entailed	2
गर्व होगा अगर बेटी अभिनेत्री बने: शाहरुख खान	यह मनोरंजन की सूचना है|	entailed	3
गर्व होगा अगर बेटी अभिनेत्री बने: शाहरुख खान	यह मनोरंजन की सूचना नहीं है|	not-entailed	3
गर्व होगा अगर बेटी अभिनेत्री बने: शाहरुख खान	यह विज्ञान की सूचना है|	not-entailed	3
गर्व होगा अगर बेटी अभिनेत्री बने: शाहरुख खान	यह विज्ञान की सूचना नहीं है|	entailed	3
अहमदाबाद टेस्ट का पहला दिन सहवाग के नाम	यह खेल की सूचना है|	entailed	4
अहमदाबाद टेस्ट का पहला दिन सहवाग के नाम	यह खेल की सूचना नहीं है|	not-entailed	4
अहमदाबाद टेस्ट का पहला दिन सहवाग के नाम	यह मनोरंजन की सूचना है|	not-entailed	4
अहमदाबाद टेस्ट का पहला दिन सहवाग के नाम	यह मनोरंजन की सूचना नहीं है|	entailed	4
'राज्यपालों को यूँ हटने के लिए कहना दुर्भाग्यपूर्ण'	यह भारत की सूचना है|	entailed	0
'राज्यपालों को यूँ हटने के लिए कहना दुर्भाग्यपूर्ण'	यह भारत की सूचना नहीं है|	not-entailed	0
'राज्यपालों को यूँ हटने के लिए कहना दुर्भाग्यपूर्ण'	यह खेल की सूचना है|	not-entailed	0
'राज्यपालों को यूँ हटने के लिए कहना दुर्भाग्यपूर्ण'	यह खेल की सूचना नहीं है|	entailed	0
'सबसे बड़े नरसंहार' पीड़ितों को इंसाफ़ का इंतज़ार	यह भारत की सूचना है|	entailed	0
'सबसे बड़े नरसंहार' पीड़ितों को इंसाफ़ का इंतज़ार	यह भारत की सूचना नहीं है|	not-entailed	0
'सबसे बड़े नरसंहार' पीड़ितों को इंसाफ़ का इंतज़ार	यह खबर की सूचना है|	not-entailed	0
'सबसे बड़े नरसंहार' पीड़ितों को इंसाफ़ का इंतज़ार	यह खबर की सूचना नहीं है|	entailed	0
जानलेवा बैक्टीरिया भी हैं 'पवित्र' गंगा जल में	यह भारत की सूचना है|	entailed	0
जानलेवा बैक्टीरिया भी हैं 'पवित्र' गंगा जल में	यह भारत की सूचना नहीं है|	not-entailed	0
जानलेवा बैक्टीरिया भी हैं 'पवित्र' गंगा जल में	यह खबर की सूचना है|	not-entailed	0
जानलेवा बैक्टीरिया भी हैं 'पवित्र' गंगा जल में	यह खबर की सूचना नहीं है|	entailed	0
चीन में बर्र के हमले से 41 लोगों की मौत	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
चीन में बर्र के हमले से 41 लोगों की मौत	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
चीन में बर्र के हमले से 41 लोगों की मौत	यह विज्ञान की सूचना है|	not-entailed	2
चीन में बर्र के हमले से 41 लोगों की मौत	यह विज्ञान की सूचना नहीं है|	entailed	2
'चमको' से चमकी दीप्ति नवल की किस्मत	यह मनोरंजन की सूचना है|	entailed	3
'चमको' से चमकी दीप्ति नवल की किस्मत	यह मनोरंजन की सूचना नहीं है|	not-entailed	3
'चमको' से चमकी दीप्ति नवल की किस्मत	यह खेल की सूचना है|	not-entailed	3
'चमको' से चमकी दीप्ति नवल की किस्मत	यह खेल की सूचना नहीं है|	entailed	3
जेल में बंद भारतीय कैप्टन सुनील जेम्स रिहा	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
जेल में बंद भारतीय कैप्टन सुनील जेम्स रिहा	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
जेल में बंद भारतीय कैप्टन सुनील जेम्स रिहा	यह मनोरंजन की सूचना है|	not-entailed	2
जेल में बंद भारतीय कैप्टन सुनील जेम्स रिहा	यह मनोरंजन की सूचना नहीं है|	entailed	2
हत्या के पीछे नरबलि या पारिवारिक रंजिश	यह खबर की सूचना है|	entailed	1
हत्या के पीछे नरबलि या पारिवारिक रंजिश	यह खबर की सूचना नहीं है|	not-entailed	1
हत्या के पीछे नरबलि या पारिवारिक रंजिश	यह मनोरंजन की सूचना है|	not-entailed	1
हत्या के पीछे नरबलि या पारिवारिक रंजिश	यह मनोरंजन की सूचना नहीं है|	entailed	1
बीबीसी हिंदी से संपर्क कीजिए	यह खबर की सूचना है|	entailed	1
बीबीसी हिंदी से संपर्क कीजिए	यह खबर की सूचना नहीं है|	not-entailed	1
बीबीसी हिंदी से संपर्क कीजिए	यह मनोरंजन की सूचना है|	not-entailed	1
बीबीसी हिंदी से संपर्क कीजिए	यह मनोरंजन की सूचना नहीं है|	entailed	1
महिलाओं का कारवां	यह भारत की सूचना है|	entailed	0
महिलाओं का कारवां	यह भारत की सूचना नहीं है|	not-entailed	0
महिलाओं का कारवां	यह विज्ञान की सूचना है|	not-entailed	0
महिलाओं का कारवां	यह विज्ञान की सूचना नहीं है|	entailed	0
'मोदी तो राहुल और केजरीवाल को भी फ़ॉलो करते हैं'	यह भारत की सूचना है|	entailed	0
'मोदी तो राहुल और केजरीवाल को भी फ़ॉलो करते हैं'	यह भारत की सूचना नहीं है|	not-entailed	0
'मोदी तो राहुल और केजरीवाल को भी फ़ॉलो करते हैं'	यह खबर की सूचना है|	not-entailed	0
'मोदी तो राहुल और केजरीवाल को भी फ़ॉलो करते हैं'	यह खबर की सूचना नहीं है|	entailed	0
इंटरनेट ने बदले मनोरंजन के मायने	यह विज्ञान की सूचना है|	entailed	5
इंटरनेट ने बदले मनोरंजन के मायने	यह विज्ञान की सूचना नहीं है|	not-entailed	5
इंटरनेट ने बदले मनोरंजन के मायने	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	5
इंटरनेट ने बदले मनोरंजन के मायने	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	5
डिजिटल इंडियंस: आखिरी हैंगआउट आज	यह भारत की सूचना है|	entailed	0
डिजिटल इंडियंस: आखिरी हैंगआउट आज	यह भारत की सूचना नहीं है|	not-entailed	0
डिजिटल इंडियंस: आखिरी हैंगआउट आज	यह मनोरंजन की सूचना है|	not-entailed	0
डिजिटल इंडियंस: आखिरी हैंगआउट आज	यह मनोरंजन की सूचना नहीं है|	entailed	0
बनारस को है 12 मई का इंतज़ार और मोदी को?	यह भारत की सूचना है|	entailed	0
बनारस को है 12 मई का इंतज़ार और मोदी को?	यह भारत की सूचना नहीं है|	not-entailed	0
बनारस को है 12 मई का इंतज़ार और मोदी को?	यह मनोरंजन की सूचना है|	not-entailed	0
बनारस को है 12 मई का इंतज़ार और मोदी को?	यह मनोरंजन की सूचना नहीं है|	entailed	0
दुर्लभ पेंटिंग चाहिए 80 रुपए निकालें!	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
दुर्लभ पेंटिंग चाहिए 80 रुपए निकालें!	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
दुर्लभ पेंटिंग चाहिए 80 रुपए निकालें!	यह मनोरंजन की सूचना है|	not-entailed	2
दुर्लभ पेंटिंग चाहिए 80 रुपए निकालें!	यह मनोरंजन की सूचना नहीं है|	entailed	2
दुर्गा शक्ति पर अखिलेश सख्त, थमाई चार्जशीट	यह भारत की सूचना है|	entailed	0
दुर्गा शक्ति पर अखिलेश सख्त, थमाई चार्जशीट	यह भारत की सूचना नहीं है|	not-entailed	0
दुर्गा शक्ति पर अखिलेश सख्त, थमाई चार्जशीट	यह खबर की सूचना है|	not-entailed	0
दुर्गा शक्ति पर अखिलेश सख्त, थमाई चार्जशीट	यह खबर की सूचना नहीं है|	entailed	0
फिक्सिंग मामले में पांच खिलाड़ी निलंबित	यह खेल की सूचना है|	entailed	4
फिक्सिंग मामले में पांच खिलाड़ी निलंबित	यह खेल की सूचना नहीं है|	not-entailed	4
फिक्सिंग मामले में पांच खिलाड़ी निलंबित	यह विज्ञान की सूचना है|	not-entailed	4
फिक्सिंग मामले में पांच खिलाड़ी निलंबित	यह विज्ञान की सूचना नहीं है|	entailed	4
पटना के हादसे पर शोक, सरकार पर आरोप	यह भारत की सूचना है|	entailed	0
पटना के हादसे पर शोक, सरकार पर आरोप	यह भारत की सूचना नहीं है|	not-entailed	0
पटना के हादसे पर शोक, सरकार पर आरोप	यह विज्ञान की सूचना है|	not-entailed	0
पटना के हादसे पर शोक, सरकार पर आरोप	यह विज्ञान की सूचना नहीं है|	entailed	0
फ़रवरी में होगी रानी मुखर्जी-आदित्य चोपड़ा की शादी ?	यह मनोरंजन की सूचना है|	entailed	3
फ़रवरी में होगी रानी मुखर्जी-आदित्य चोपड़ा की शादी ?	यह मनोरंजन की सूचना नहीं है|	not-entailed	3
फ़रवरी में होगी रानी मुखर्जी-आदित्य चोपड़ा की शादी ?	यह अंतरराष्ट्रीय की सूचना है|	not-entailed	3
फ़रवरी में होगी रानी मुखर्जी-आदित्य चोपड़ा की शादी ?	यह अंतरराष्ट्रीय की सूचना नहीं है|	entailed	3
चीन: नील हेवुड की हत्या की पूरी जांच होगी	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
चीन: नील हेवुड की हत्या की पूरी जांच होगी	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
चीन: नील हेवुड की हत्या की पूरी जांच होगी	यह मनोरंजन की सूचना है|	not-entailed	2
चीन: नील हेवुड की हत्या की पूरी जांच होगी	यह मनोरंजन की सूचना नहीं है|	entailed	2
'ब्रिटेन में मंहगाई बढ़ेगी'	यह खबर की सूचना है|	entailed	1
'ब्रिटेन में मंहगाई बढ़ेगी'	यह खबर की सूचना नहीं है|	not-entailed	1
'ब्रिटेन में मंहगाई बढ़ेगी'	यह खेल की सूचना है|	not-entailed	1
'ब्रिटेन में मंहगाई बढ़ेगी'	यह खेल की सूचना नहीं है|	entailed	1
अफ़गान महिलाओं को इंसाफ़ की आस	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
अफ़गान महिलाओं को इंसाफ़ की आस	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
अफ़गान महिलाओं को इंसाफ़ की आस	यह खेल की सूचना है|	not-entailed	2
अफ़गान महिलाओं को इंसाफ़ की आस	यह खेल की सूचना नहीं है|	entailed	2
'घर से बाहर न आएँ -शेर, भालू घूम रहे हैं'	यह खबर की सूचना है|	entailed	1
'घर से बाहर न आएँ -शेर, भालू घूम रहे हैं'	यह खबर की सूचना नहीं है|	not-entailed	1
'घर से बाहर न आएँ -शेर, भालू घूम रहे हैं'	यह खेल की सूचना है|	not-entailed	1
'घर से बाहर न आएँ -शेर, भालू घूम रहे हैं'	यह खेल की सूचना नहीं है|	entailed	1
शादी के लिए मेकअप करा रही युवती पर तेज़ाब हमला	यह भारत की सूचना है|	entailed	0
शादी के लिए मेकअप करा रही युवती पर तेज़ाब हमला	यह भारत की सूचना नहीं है|	not-entailed	0
शादी के लिए मेकअप करा रही युवती पर तेज़ाब हमला	यह मनोरंजन की सूचना है|	not-entailed	0
शादी के लिए मेकअप करा रही युवती पर तेज़ाब हमला	यह मनोरंजन की सूचना नहीं है|	entailed	0
पाकिस्तान पर फिर सियासी 'ड्रोन' का साया	यह अंतरराष्ट्रीय की सूचना है|	entailed	2
पाकिस्तान पर फिर सियासी 'ड्रोन' का साया	यह अंतरराष्ट्रीय की सूचना नहीं है|	not-entailed	2
पाकिस्तान पर फिर सियासी 'ड्रोन' का साया	यह भारत की सूचना है|	not-entailed	2
पाकिस्तान पर फिर सियासी 'ड्रोन' का साया	यह भारत की सूचना नहीं है|	entailed	2
किबिथू गांव के लिए दिल्ली दूर रंगून पास	यह भारत की सूचना है|	entailed	0
किबिथू गांव के लिए दिल्ली दूर रंगून पास	यह भारत की सूचना नहीं है|	not-entailed	0
किबिथू गांव के लिए दिल्ली दूर रंगून पास	यह मनोरंजन की सूचना है|	not-entailed	0
किबिथू गांव के लिए दिल्ली दूर रंगून पास	यह मनोरंजन की सूचना नहीं है|	entailed	0
यौन प्रताड़ना से जुड़ा अध्यादेश पारित, जघन्य मामलों में मौत की सज़ा	यह भारत की सूचना है|	entailed	0
यौन प्रताड़ना से जुड़ा अध्यादेश पारित, जघन्य मामलों में मौत की सज़ा	यह भारत की सूचना नहीं है|	not-entailed	0
यौन प्रताड़ना से जुड़ा अध्यादेश पारित, जघन्य मामलों में मौत की सज़ा	यह विज्ञान की सूचना है|	not-entailed	0
यौन प्रताड़ना से जुड़ा अध्यादेश पारित, जघन्य मामलों में मौत की सज़ा	यह विज्ञान की सूचना नहीं है|	entailed	0
उत्तराखंड त्रासदी: चाहकर भी रो नहीं पाता...	यह भारत की सूचना है|	entailed	0
उत्तराखंड त्रासदी: चाहकर भी रो नहीं पाता...	यह भारत की सूचना नहीं है|	not-entailed	0
उत्तराखंड त्रासदी: चाहकर भी रो नहीं पाता...	यह खेल की सूचना है|	not-entailed	0
उत्तराखंड त्रासदी: चाहकर भी रो नहीं पाता...	यह खेल की सूचना नहीं है|	entailed	0
